case_id,po_number,remaining_qty,root_cause,recommended_action,rationale,priority,supplier_id,plant_id,material_id,aging_days,due_days,po_value_remaining
CASE01,45001001,60,VALID_FUTURE_DEMAND,KEEP_OPEN,Open residual is linked to future production requirement.,MEDIUM,SUP1001,PL01,MAT1001,221,179,72000
CASE02,45001002,50,VALID_FUTURE_DEMAND,KEEP_OPEN,Aged PO but required for near-term production; confirmed future date.,HIGH,SUP1002,PL01,MAT1002,184,132,2100000
CASE03,45001003,80,PARTIAL_DELIVERY_RESIDUAL,REVIEW_REMAINING_QTY,Partial GR exists; residual needs demand and supplier review.,MEDIUM,SUP1003,PL02,MAT1003,143,87,68000
CASE04,45001004,80,REQUIREMENT_CANCELLED,CLOSE_OR_CANCEL_WORKFLOW,No active requirement supports the open quantity.,HIGH,SUP1004,PL03,MAT1005,128,101,520000
CASE05,45001005,0,FULLY_RECEIVED,CLOSE_PO,PO is operationally complete; residual is zero.,LOW,SUP1005,PL01,MAT1004,118,101,0
CASE06,45001006,1000,REQUIREMENT_CLOSED,CLOSE_OR_CANCEL_WORKFLOW,Maintenance requirement closed and supplier never confirmed.,HIGH,SUP1006,PL02,MAT1006,238,202,18000
CASE07,45001007,60,REPEATED_RESCHEDULE,SUPPLIER_REVIEW,Multiple date pushes make the open commitment stale and unreliable.,HIGH,SUP1001,PL01,MAT1001,101,82,75000
CASE08,45001008,20,VALID_FUTURE_DEMAND,KEEP_OPEN,Young PO with valid future requirement and confirmation.,LOW,SUP1002,PL02,MAT1002,71,-20,820000
CASE09,45001009,40,PO_BLOCKED,RELEASE_OR_BLOCK_RESOLUTION,Open supply cannot progress while PO is blocked.,HIGH,SUP1004,PL03,MAT1005,207,184,264000
CASE10,45001010,150,VALID_FUTURE_DEMAND,KEEP_OPEN,Long-aged PO is still backed by future forecast requirement.,MEDIUM,SUP1003,PL02,MAT1003,162,132,135000
CASE11,45001011,0,REQUIREMENT_CANCELLED,CLOSE_PO,Receipt completed; linked requirement later cancelled.,LOW,SUP1001,PL01,MAT1001,193,174,35700
CASE12,45001012,300,VALID_FUTURE_DEMAND,KEEP_OPEN,Recent PO supports active sales requirement.,LOW,SUP1005,PL01,MAT1004,40,21,28500
