po_id,item,supplier_id,material_id,plant,order_qty,requested_date,confirmed_date,expected_actual_date,confirmation_status,historical_pos,avg_delay_days,median_delay_days,p90_delay_days,late_rate,severe_late_rate,supplier_name,behavior_profile,days_to_confirmed,risk_score,requirement_date,required_qty,business_impact,requirement_type,demo_expected_outcome
PO100001,10,SUP001,MAT001,PLANT01,120,2026-09-08,2026-09-20,2026-09-20,CONFIRMED,252,1.124,1.015,3.032,0.766,0.103,Apex Components,Stable,4,54.03,2026-09-21,40,MEDIUM,Production,MONITOR / FOLLOW-UP
PO100002,10,SUP002,MAT002,PLANT01,80,2026-09-05,2026-09-18,2026-09-18,CONFIRMED,232,4.855,4.83,8.078,0.974,0.776,Bharat Precision,Late-Prone,2,91.41,2026-09-19,80,CRITICAL,Production,INVESTIGATE / ESCALATE
PO100003,10,SUP006,MAT003,PLANT02,150,2026-09-07,2026-09-21,2026-09-21,CONFIRMED,194,5.674,5.56,9.741,0.974,0.778,Futura Electronics,Late-Prone,5,93.51,2026-09-22,120,CRITICAL,Production,INVESTIGATE / ESCALATE
PO100004,10,SUP004,MAT004,PLANT01,300,2026-09-01,2026-09-19,2026-09-19,CONFIRMED,218,4.074,4.085,8.802,0.83,0.601,Delta Industrial,Volatile,3,81.75,2026-09-20,200,HIGH,Production,INVESTIGATE / ESCALATE
PO100005,10,SUP003,MAT005,PLANT02,200,2026-09-10,2026-09-25,2026-09-25,CONFIRMED,220,2.077,2.095,3.72,0.927,0.227,CoreMotion Systems,Stable,9,58.96,2026-09-28,80,MEDIUM,Customer,MONITOR / FOLLOW-UP
PO100006,10,SUP005,MAT006,PLANT02,100,2026-09-06,2026-09-17,2026-09-17,CONFIRMED,231,2.412,2.55,4.86,0.909,0.39,Evergreen Plastics,Improving,1,73.77,2026-09-18,70,CRITICAL,Production,INVESTIGATE / ESCALATE
PO100007,10,SUP008,MAT009,PLANT03,60,2026-09-09,2026-09-23,2026-09-23,CONFIRMED,215,4.722,4.61,8.526,0.949,0.712,Horizon Metals,Volatile,7,83.15,2026-09-25,50,HIGH,Customer,INVESTIGATE / ESCALATE
PO100008,10,SUP007,MAT007,PLANT01,500,2026-09-12,2026-09-24,2026-09-24,CONFIRMED,238,1.562,1.525,3.406,0.832,0.164,Global Fasteners,Stable,8,53.5,2026-09-30,300,LOW,Production,MONITOR / FOLLOW-UP
PO100009,10,SUP002,MAT008,PLANT03,90,2026-09-04,2026-09-16,2026-09-16,CONFIRMED,232,4.855,4.83,8.078,0.974,0.776,Bharat Precision,Late-Prone,0,94.41,2026-09-17,90,HIGH,Production,INVESTIGATE / ESCALATE
PO100010,10,SUP006,MAT010,PLANT03,250,2026-09-03,2026-09-22,2026-09-22,CONFIRMED,194,5.674,5.56,9.741,0.974,0.778,Futura Electronics,Late-Prone,6,92.01,2026-09-24,150,MEDIUM,Production,INVESTIGATE / ESCALATE
