po_id,item,supplier_id,material_id,change_sequence,change_timestamp,previous_confirmed_date,new_confirmed_date,change_reason
PO100001,"<bound method IndexOpsMixin.item of po_id                     PO100001
item                            10
supplier_id                 SUP001
material_id                 MAT001
plant                      PLANT01
order_qty                      120
requested_date          2026-09-08
confirmed_date          2026-09-20
expected_actual_date    2026-09-20
confirmation_status      CONFIRMED
Name: 0, dtype: object>",SUP001,MAT001,1,2026-09-15,2026-09-18,2026-09-20,SUPPLIER_UPDATE
PO100002,"<bound method IndexOpsMixin.item of po_id                     PO100002
item                            10
supplier_id                 SUP002
material_id                 MAT002
plant                      PLANT01
order_qty                       80
requested_date          2026-09-05
confirmed_date          2026-09-18
expected_actual_date    2026-09-18
confirmation_status      CONFIRMED
Name: 1, dtype: object>",SUP002,MAT002,1,2026-09-13,2026-09-16,2026-09-18,SUPPLIER_UPDATE
PO100002,"<bound method IndexOpsMixin.item of po_id                     PO100002
item                            10
supplier_id                 SUP002
material_id                 MAT002
plant                      PLANT01
order_qty                       80
requested_date          2026-09-05
confirmed_date          2026-09-18
expected_actual_date    2026-09-18
confirmation_status      CONFIRMED
Name: 1, dtype: object>",SUP002,MAT002,2,2026-09-11,2026-09-14,2026-09-17,SUPPLIER_UPDATE
PO100004,"<bound method IndexOpsMixin.item of po_id                     PO100004
item                            10
supplier_id                 SUP004
material_id                 MAT004
plant                      PLANT01
order_qty                      300
requested_date          2026-09-01
confirmed_date          2026-09-19
expected_actual_date    2026-09-19
confirmation_status      CONFIRMED
Name: 3, dtype: object>",SUP004,MAT004,1,2026-09-14,2026-09-17,2026-09-19,SUPPLIER_UPDATE
PO100005,"<bound method IndexOpsMixin.item of po_id                     PO100005
item                            10
supplier_id                 SUP003
material_id                 MAT005
plant                      PLANT02
order_qty                      200
requested_date          2026-09-10
confirmed_date          2026-09-25
expected_actual_date    2026-09-25
confirmation_status      CONFIRMED
Name: 4, dtype: object>",SUP003,MAT005,1,2026-09-20,2026-09-23,2026-09-25,SUPPLIER_UPDATE
PO100005,"<bound method IndexOpsMixin.item of po_id                     PO100005
item                            10
supplier_id                 SUP003
material_id                 MAT005
plant                      PLANT02
order_qty                      200
requested_date          2026-09-10
confirmed_date          2026-09-25
expected_actual_date    2026-09-25
confirmation_status      CONFIRMED
Name: 4, dtype: object>",SUP003,MAT005,2,2026-09-18,2026-09-21,2026-09-24,SUPPLIER_UPDATE
PO100007,"<bound method IndexOpsMixin.item of po_id                     PO100007
item                            10
supplier_id                 SUP008
material_id                 MAT009
plant                      PLANT03
order_qty                       60
requested_date          2026-09-09
confirmed_date          2026-09-23
expected_actual_date    2026-09-23
confirmation_status      CONFIRMED
Name: 6, dtype: object>",SUP008,MAT009,1,2026-09-18,2026-09-21,2026-09-23,SUPPLIER_UPDATE
PO100008,"<bound method IndexOpsMixin.item of po_id                     PO100008
item                            10
supplier_id                 SUP007
material_id                 MAT007
plant                      PLANT01
order_qty                      500
requested_date          2026-09-12
confirmed_date          2026-09-24
expected_actual_date    2026-09-24
confirmation_status      CONFIRMED
Name: 7, dtype: object>",SUP007,MAT007,1,2026-09-19,2026-09-22,2026-09-24,SUPPLIER_UPDATE
PO100008,"<bound method IndexOpsMixin.item of po_id                     PO100008
item                            10
supplier_id                 SUP007
material_id                 MAT007
plant                      PLANT01
order_qty                      500
requested_date          2026-09-12
confirmed_date          2026-09-24
expected_actual_date    2026-09-24
confirmation_status      CONFIRMED
Name: 7, dtype: object>",SUP007,MAT007,2,2026-09-17,2026-09-20,2026-09-23,SUPPLIER_UPDATE
PO100010,"<bound method IndexOpsMixin.item of po_id                     PO100010
item                            10
supplier_id                 SUP006
material_id                 MAT010
plant                      PLANT03
order_qty                      250
requested_date          2026-09-03
confirmed_date          2026-09-22
expected_actual_date    2026-09-22
confirmation_status      CONFIRMED
Name: 9, dtype: object>",SUP006,MAT010,1,2026-09-17,2026-09-20,2026-09-22,SUPPLIER_UPDATE
