po_id,material_id,plant,requirement_id,requirement_date,required_qty,business_impact,requirement_type
PO100001,MAT001,PLANT01,PROD50001,2026-09-21,40,MEDIUM,Production
PO100002,MAT002,PLANT01,PROD50002,2026-09-19,80,CRITICAL,Production
PO100003,MAT003,PLANT02,PROD50003,2026-09-22,120,CRITICAL,Production
PO100004,MAT004,PLANT01,PROD50004,2026-09-20,200,HIGH,Production
PO100005,MAT005,PLANT02,SO90001,2026-09-28,80,MEDIUM,Customer
PO100006,MAT006,PLANT02,PROD50005,2026-09-18,70,CRITICAL,Production
PO100007,MAT009,PLANT03,SO90002,2026-09-25,50,HIGH,Customer
PO100008,MAT007,PLANT01,PROD50006,2026-09-30,300,LOW,Production
PO100009,MAT008,PLANT03,PROD50007,2026-09-17,90,HIGH,Production
PO100010,MAT010,PLANT03,PROD50008,2026-09-24,150,MEDIUM,Production
