requirement_id,requirement_date,plant_id,material_id,required_qty,requirement_type,status,snapshot_date,source_id
REQ2001,2026-09-10,PL01,MAT2001,100,PRODUCTION_ORDER,OPEN,2026-09-16,SRC01
REQ2002,2026-09-15,PL01,MAT2001,60,SALES_ORDER,OPEN,2026-09-16,SRC02
REQ2003,2026-09-20,PL01,MAT2001,80,MRP,OPEN,2026-09-16,SRC03
REQ2004,2026-09-18,PL02,MAT2002,50,PRODUCTION_ORDER,OPEN,2026-09-16,SRC04
REQ2005,2026-09-25,PL02,MAT2002,50,SALES_ORDER,OPEN,2026-09-16,SRC05
REQ2006,2026-10-01,PL02,MAT2003,100,MRP,OPEN,2026-09-16,SRC06
REQ2007,2026-10-01,PL02,MAT2003,100,FORECAST,OPEN,2026-09-16,SRC07
REQ2008,2026-09-30,PL03,MAT2004,200,FORECAST,OPEN,2026-09-16,SRC08
REQ2009,2026-09-30,PL03,MAT2004,80,SALES_ORDER,CANCELLED,2026-09-16,SRC09
REQ2010,2026-10-15,PL01,MAT2005,500,SALES_ORDER,OPEN,2026-09-16,SRC10
REQ2011,2026-10-15,PL01,MAT2005,300,MRP,OPEN,2026-09-16,SRC11
REQ2012,2026-10-20,PL03,MAT2006,120,MAINTENANCE,OPEN,2026-09-16,SRC12
REQ2013,2026-10-20,PL03,MAT2006,120,FORECAST,OPEN,2026-09-16,SRC13
