transfer_option_id,material_id,source_plant,destination_plant,candidate_qty,distance_km,estimated_freight_cost,transfer_lead_days,estimated_stockout_cost,demo_scenario
TR70000,MAT3001,PL01,PL02,458,1550,3248.79,4,20441.94,CLEAR_SURPLUS_TO_SHORTAGE
TR70001,MAT3002,PL02,PL03,205,1448,3081.87,7,5439.16,HIGH_FREIGHT
TR70002,MAT3003,PL03,PL04,407,260,846.26,3,31620.1,CRITICAL_MATERIAL
TR70003,MAT3004,PL04,PL01,453,328,1054.21,6,6094.7,SHORT_LEAD_TIME
TR70004,MAT3005,PL05,PL02,165,349,542.44,3,26233.13,FUTURE_SOURCE_SHORTAGE
TR70005,MAT3006,PL06,PL03,283,1360,2327.05,3,19019.94,LOW_VALUE_MATERIAL
TR70006,MAT3007,PL01,PL05,267,949,2453.79,2,19636.23,HIGH_STOCKOUT_COST
TR70007,MAT3008,PL02,PL06,239,1233,2690.42,4,22975.66,LONG_LANE
TR70008,MAT3009,PL03,PL01,313,977,1497.61,5,26887.54,BALANCED_CASE
TR70009,MAT3010,PL04,PL02,335,1733,4235.09,1,13404.86,MULTI_CONSTRAINT
